GEOID,GEOG,2000_POP,2010_POP,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod
1760391,Plattville,N/A,242,237.0,12.0,66.0,32.0,35.0,55.0,27.0,10.0,0.0,37.7,224.0,12.0,1.0,0.0,0.0,237.0,187.0,113.0,107.0,6.0,74.0,105.0,2.0,103.0,94.0,2.0,1.0,2.0,4.0,3640.0,0.0,15.0,35.0,27.0,148.0,12.0,42.0,54.0,14.0,17.0,9.0,14.0,8.0,8.0,25.0,10.0,12.0,85893.0,35378.0,77.0,70.0,7.0,3.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,8.0,34.0,13.0,25.0,1972.0,2.0,14.0,34.0,21.0,9.0,7.0,50.0,8.0,5.0,231600.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,76.0,3.0,1.0,74.0,70.0,3.0,145.0,Manufacturing,Education,Retail Trade,Health Care,Construction,19.0,18.0,17.0,15.0,13.0,2.0,Construction,Public Administration,Other Service,Mining,Utilities,2.0,0.0,0.0,0.0,0.0,Joliet,Chicago,Plainfield,Oswego,Wheaton,21.0,13.0,5.0,5.0,4.0,Minooka,Newark,Zion,Harwood Heights,Hainesville,1.0,1.0,0.0,0.0,0.0,,,,,41869,41888,5015110,50082,0,0,1175936,0,6241128,1.0,0.0,0.0,1.0,0.0,0.0,13.855880370814685,1454.4778767417008,112.52998263376588,0.07736795755591266,0,0,0,0,2.474807905343843,0.001701509486612385,7.29355007448318,0.005014548650834126,0,0,12.076466125684183,0.008302956214595507,1315.2096989535055,0.9042486791891384,3.65419420526552,0.0025123752404207,1.239176843652752,0.0008519736624861817,17.0,25.0,13.0,22.0,57.0,9.0,20.0,7.0,0.0,0.0,7.0,9.0,4.0,1.0,4.0,8.0,3.0,1.0,4.0,47.0,36.0,8.0,3.0,234.0,3.0,225.0,3.0,3.0,222.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,72,33,41,27,30
1705248,Bensenville,20703,18352,18281.0,1237.0,3014.0,4705.0,3187.0,3546.0,1413.0,664.0,515.0,36.1,7758.0,9016.0,561.0,766.0,180.0,17963.0,14745.0,10416.0,10002.0,414.0,4329.0,9868.0,193.0,9675.0,7873.0,1186.0,328.0,237.0,51.0,244515.0,416.0,2300.0,2325.0,1518.0,12560.0,2731.0,3809.0,2369.0,898.0,2083.0,670.0,1166.0,1418.0,1233.0,1077.0,1013.0,652.0,62756.0,28340.0,6559.0,3306.0,3253.0,244.0,6803.0,3102.0,151.0,133.0,214.0,1042.0,612.0,1549.0,0.0,4.6,447.0,3370.0,2754.0,232.0,1972.0,1949.0,1981.0,2173.0,556.0,144.0,570.0,2226.0,462.0,35.0,217300.0,3240.0,207.0,776.0,1790.0,426.0,41.0,1128.0,5810.0,526.0,749.0,5696.0,5545.0,863.0,8166.0,Manufacturing,Retail Trade,Administration,Health Care,Wholesale Trade,1161.0,840.0,833.0,820.0,710.0,20080.0,Manufacturing,Administration,Transportation,Wholesale Trade,Construction,4619.0,4400.0,2754.0,2188.0,1720.0,Chicago,Bensenville,Elk Grove Village,Elmhurst,Schaumburg,1220.0,732.0,471.0,303.0,259.0,Chicago,Bensenville,Addison,Schaumburg,Elgin,3292.0,732.0,397.0,380.0,352.0,21127.0,16159.0,19651,21167.06783161239,535552459,434859293,269414452,79819808,270085019,3708145,1183,0,623028607,0.18377954812589786,0.6594227504244482,0.1567977014496539,0.7208904341846473,0.27910956581535273,0.0,7.221865107059553,3550.8928353459314,777.841690394742,0.21905524229062348,149.39219190751353,0.0420717264177756,2.18673468772334,0.000615826719960786,141.37486928455803,0.03981389353046616,173.45380986289916,0.04884794273043758,956.2858601381145,0.2693085667410608,973.5892302217113,0.27418152993255945,4.45491634025472,0.0012545904781777844,194.84330460700141,0.054871637540708715,177.47022790141335,0.04997904361822962,1820.0,1731.0,1273.0,1735.0,4293.0,598.0,2266.0,715.0,5.0,65.0,645.0,1768.0,167.0,275.0,1326.0,1226.0,431.0,398.0,397.0,2742.0,2007.0,597.0,138.0,11906.0,6375.0,17044.0,9872.0,4294.0,7172.0,7283.0,1487.0,20.0,160.0,87.0,111.0,131.0,593.0,0.0,10779,7690,537,1307,390,5779,5539,4477,2571,2337,32.2,6885,3861,3024,235,7120,3812,3743,2628,497,1936,588,13204,48,57,29,36,20,21
1744524,Long Grove,6735,8043,7963.0,257.0,1890.0,907.0,1502.0,2038.0,854.0,316.0,199.0,46.6,5786.0,423.0,197.0,1436.0,121.0,7617.0,6326.0,3947.0,3747.0,200.0,2379.0,3729.0,496.0,3233.0,2738.0,196.0,190.0,18.0,91.0,107550.0,30.0,157.0,1108.0,1074.0,5392.0,136.0,598.0,585.0,298.0,1803.0,1972.0,19.0,185.0,78.0,136.0,321.0,1630.0,214073.0,84372.0,2369.0,2333.0,36.0,232.0,2601.0,2538.0,12.0,0.0,0.0,41.0,0.0,0.0,10.0,10.0,531.0,1735.0,289.0,46.0,1990.0,41.0,36.0,388.0,1430.0,706.0,36.0,7.0,486.0,1755.0,648700.0,19.0,0.0,0.0,8.0,0.0,11.0,3250.0,2346.0,29.0,23.0,2331.0,2324.0,38.0,3785.0,Professional,Manufacturing,Health Care,Education,Retail Trade,530.0,434.0,367.0,322.0,315.0,2304.0,Administration,Retail Trade,Health Care,Manufacturing,Professional,681.0,316.0,311.0,260.0,140.0,Chicago,Schaumburg,Lincolnshire,Buffalo Grove,Deerfield,711.0,147.0,139.0,138.0,116.0,Chicago,Palatine,Buffalo Grove,Waukegan,Long Grove,232.0,94.0,89.0,53.0,47.0,4942.0,2535.0,2399,28547.886477462438,112840408,86797452,549017492,32113023,0,0,6894416,0,588024931,1.0,0.0,0.0,0.9267862891547766,0.07321371084522321,0.0,11.14315882649665,8126.111188467478,4379.950913493286,0.5389971675146757,0,0,2.55484674669132,0.0003143996786946677,158.26954791574767,0.01947666531321436,140.63695548631253,0.017306796845938256,0,0,665.5605278530953,0.08190394057094054,1244.107862354693,0.15310002946062595,1076.809372628603,0.13251226172696276,458.2211619890494,0.056388738888947736,131.0,961.0,346.0,931.0,2202.0,73.0,167.0,16.0,0.0,0.0,16.0,185.0,0.0,10.0,175.0,78.0,0.0,14.0,64.0,2070.0,1227.0,498.0,345.0,6068.0,1895.0,7706.0,2108.0,393.0,5598.0,407.0,427.0,244.0,51.0,8.0,64.0,276.0,579.0,52.0,5960,202,61,456,56,2258,555,1960,1360,602,40.6,1962,1892,70,59,2021,119,730,841,156,1465,997,4308,90,109,66,82,24,26
1761216,Port Barrington,788,1517,1676.0,124.0,313.0,317.0,351.0,450.0,72.0,47.0,2.0,38.8,1457.0,147.0,10.0,45.0,17.0,1676.0,1334.0,1026.0,1004.0,22.0,308.0,991.0,48.0,943.0,795.0,85.0,39.0,0.0,24.0,34860.0,14.0,94.0,293.0,170.0,1147.0,55.0,264.0,258.0,60.0,313.0,197.0,16.0,57.0,67.0,66.0,124.0,241.0,137583.0,50436.0,571.0,511.0,60.0,0.0,571.0,546.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,7.8,328.0,146.0,90.0,7.0,2001.0,2.0,57.0,263.0,193.0,56.0,28.0,225.0,231.0,21.0,301200.0,60.0,0.0,0.0,14.0,43.0,3.0,1716.0,557.0,12.0,14.0,557.0,543.0,14.0,680.0,Retail Trade,Manufacturing,Health Care,Education,Professional,93.0,78.0,66.0,61.0,50.0,68.0,Retail Trade,Accommodation and Food Service,Professional,Finance,Public Administration,22.0,17.0,8.0,6.0,4.0,Chicago,Wauconda,Crystal Lake,Schaumburg,Barrington,72.0,44.0,21.0,21.0,20.0,Chicago,Wauconda,Port Barrington,Algonquin,Crystal Lake,5.0,5.0,4.0,3.0,3.0,,,,28126.80144404332,4514999,4489977,49124065,1191995,0,0,52283,0,50368343,1.0,0.0,0.0,1.0000000000000002,0.0,0.0,13.066392211378712,825.5629671056603,303.82509064236893,0.3680217048828495,0,0,0,0,28.14389333006778,0.03409054724043328,1.72029399361224,0.002083782899859735,0,0,119.49740445185124,0.1447465659352393,4.374555800661473,0.005298876009419634,324.93993496643617,0.39359800271279427,43.06179392066232,0.05216052031940408,98.0,193.0,92.0,188.0,457.0,56.0,114.0,16.0,0.0,0.0,16.0,57.0,4.0,4.0,49.0,67.0,18.0,11.0,38.0,431.0,265.0,119.0,47.0,1502.0,174.0,1552.0,286.0,62.0,1266.0,86.0,36.0,5.0,9.0,113.0,10.0,4.0,23.0,0.0,749,22,4,8,5,223,164,241,110,50,35.3,295,283,12,25,320,46,149,150,40,135,48,568,65,77,40,50,25,27
1729756,Glen Ellyn,26999,27450,27855.0,1828.0,6304.0,3740.0,5706.0,5702.0,2580.0,1269.0,726.0,40.7,22924.0,1370.0,946.0,1944.0,671.0,27818.0,21355.0,13829.0,13367.0,456.0,7526.0,13196.0,1176.0,12020.0,9035.0,661.0,1798.0,381.0,145.0,382545.0,724.0,3617.0,4782.0,1638.0,18564.0,668.0,1935.0,2446.0,962.0,7343.0,5210.0,1351.0,1465.0,1316.0,839.0,1661.0,4129.0,110678.0,61180.0,10761.0,8120.0,2641.0,493.0,11254.0,6957.0,1025.0,25.0,343.0,626.0,506.0,1772.0,0.0,6.9,1192.0,4410.0,3542.0,2110.0,1970.0,1607.0,2125.0,3211.0,3392.0,919.0,735.0,1102.0,2734.0,3435.0,453900.0,2489.0,137.0,839.0,958.0,387.0,168.0,1106.0,9963.0,409.0,798.0,10012.0,9669.0,749.0,12878.0,Professional,Health Care,Education,Retail Trade,Manufacturing,1518.0,1418.0,1349.0,1182.0,981.0,11299.0,Education,Retail Trade,Health Care,Accommodation and Food Service,Professional,4501.0,862.0,859.0,833.0,762.0,Chicago,Glen Ellyn,Naperville,Wheaton,Downers Grove,2350.0,1105.0,488.0,483.0,432.0,Glen Ellyn,Wheaton,Chicago,Naperville,Lombard,1105.0,853.0,748.0,527.0,468.0,10127.0,10143.0,8575,19967.50353796137,349768580,236935994,1359066043,153046810,681230,887599,0,0,1513681682,0.2009036414064597,0.45709940055471054,0.34199695803882973,0.4402701532599573,0.4132701724941689,0.14645967424587386,8.962883025213305,4416.4726837248045,2055.115468957221,0.46532960036876286,166.09221648482125,0.0376074366081533,1.572873231446201,0.0003561378828951925,214.84498292534548,0.048646283654617234,433.5209358637613,0.09815999484415117,0.044406207499951,1.0054677268489135e-05,835.0953789800053,0.1890865038195357,0,0,666.1835562725693,0.15084063776224182,44.0028648021351,0.00996335038237428,2968.0,3478.0,1483.0,2832.0,7424.0,624.0,3337.0,745.0,25.0,50.0,670.0,1803.0,147.0,443.0,1213.0,1273.0,334.0,344.0,595.0,6579.0,4374.0,1532.0,673.0,25120.0,2735.0,26027.0,3269.0,989.0,22758.0,732.0,221.0,156.0,163.0,179.0,14.0,582.0,1222.0,0.0,23476,1275,570,1276,402,8211,4373,7062,4278,3075,37.0,10207,7905,2302,308,10515,973,2251,3178,878,6419,3990,17689,63,74,42,52,21,22
1712476,Channahon,7344,12560,12833.0,975.0,2936.0,2049.0,2635.0,2462.0,1142.0,492.0,142.0,37.8,11174.0,1356.0,125.0,36.0,142.0,12833.0,9674.0,6723.0,6468.0,255.0,2951.0,6317.0,187.0,6130.0,5483.0,548.0,57.0,0.0,42.0,195695.0,30.0,684.0,2021.0,1544.0,8223.0,298.0,2038.0,2656.0,851.0,1625.0,755.0,244.0,674.0,580.0,801.0,931.0,1049.0,91897.0,36767.0,4279.0,3823.0,456.0,69.0,4348.0,3777.0,173.0,12.0,78.0,78.0,82.0,0.0,148.0,6.9,1621.0,1967.0,633.0,127.0,1995.0,90.0,422.0,2226.0,1317.0,293.0,474.0,2637.0,622.0,83.0,224500.0,443.0,0.0,116.0,147.0,180.0,0.0,1350.0,4170.0,54.0,109.0,4001.0,3958.0,278.0,4785.0,Education,Health Care,Manufacturing,Retail Trade,Transportation,549.0,520.0,496.0,459.0,348.0,2959.0,Manufacturing,Accommodation and Food Service,Construction,Transportation,Education,587.0,541.0,311.0,268.0,184.0,Joliet,Chicago,Channahon,Bolingbrook,Naperville,789.0,409.0,258.0,145.0,127.0,Joliet,Channahon,Chicago,Shorewood,Wilmington,397.0,258.0,88.0,82.0,58.0,,,,,147801315,136636392,314942097,28681702,42831182,1741003,1483706,0,389679690,1.0,0.0,0.0,1.0,0.0,0.0,50.619385901613384,5420.000504728068,1570.5189536560708,0.28976361760225827,2.377282849070528,0.00043861303093915496,1.917962449251625,0.00035386757760972806,154.75689025605826,0.028552929122618725,184.40402578143653,0.03402287981718342,246.214904826516,0.045427099981214684,1373.3604178256953,0.25338750736787974,823.6242292348918,0.15196017574470957,649.181129449645,0.11977510498077264,413.6447083994313,0.07631820477481388,573.0,1405.0,883.0,1418.0,3564.0,229.0,715.0,108.0,0.0,0.0,108.0,796.0,215.0,287.0,294.0,580.0,237.0,176.0,167.0,2768.0,2025.0,536.0,207.0,12450.0,383.0,11858.0,709.0,176.0,11149.0,537.0,100.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,6962,267,31,17,67,2620,1237,2162,938,387,33.5,2279,2123,156,67,2346,266,1596,1240,493,644,180,4419,57,68,33,41,25,27
1781087,Wheeling,34496,37648,38499.0,2391.0,6112.0,9385.0,7391.0,7623.0,3057.0,1934.0,606.0,37.5,18116.0,11472.0,927.0,7084.0,900.0,37969.0,31539.0,22823.0,22143.0,680.0,8716.0,21604.0,582.0,21022.0,16873.0,2690.0,704.0,420.0,335.0,520990.0,916.0,5427.0,5540.0,2558.0,27878.0,3773.0,6586.0,4533.0,1719.0,7167.0,4100.0,2159.0,3051.0,2557.0,2204.0,2315.0,2155.0,68615.0,33877.0,14441.0,8762.0,5679.0,565.0,15006.0,4499.0,2417.0,181.0,1382.0,2006.0,795.0,3215.0,511.0,4.8,1630.0,9172.0,3928.0,276.0,1977.0,2636.0,5431.0,5388.0,1439.0,112.0,2152.0,4720.0,1705.0,185.0,198700.0,5547.0,234.0,881.0,2876.0,1526.0,30.0,1265.0,13714.0,1074.0,727.0,12789.0,12517.0,1652.0,17961.0,Health Care,Manufacturing,Retail Trade,Professional,Accommodation and Food Service,2180.0,2038.0,2028.0,1858.0,1570.0,21344.0,Manufacturing,Wholesale Trade,Accommodation and Food Service,Professional,Education,5883.0,2382.0,2128.0,1858.0,1559.0,Chicago,Wheeling,Northbrook,Glenview,Schaumburg,2825.0,1605.0,763.0,716.0,690.0,Chicago,Wheeling,Arlington Heights,Palatine,Buffalo Grove,2635.0,1605.0,790.0,782.0,724.0,20575.0,20007.0,19615,17425.60465116279,455554748,361023985,582136099,173166782,358683311,1070918,48371,0,1115105481,0.17135844265763858,0.5327634363097757,0.2958781210325857,0.3873872735114567,0.6126127264885436,0.0,3.951950986271535,5585.731581276019,1321.2937449594128,0.23654801984909793,503.74112303851194,0.09018355352539802,7.678291331380782,0.0013746259052474436,424.8077994010173,0.07605231171956406,249.3071271363424,0.0446328513120908,892.816314710927,0.15983874300436215,1320.502299967285,0.2364063293685204,83.9595833145612,0.01503108090549909,533.9174327794922,0.09558594519100087,247.70786463708848,0.04434653921921924,4196.0,4304.0,2703.0,3238.0,9315.0,734.0,5126.0,1436.0,8.0,87.0,1341.0,3617.0,491.0,407.0,2719.0,2557.0,795.0,974.0,788.0,6602.0,4745.0,1516.0,341.0,21901.0,16598.0,36108.0,22154.0,9464.0,13954.0,9937.0,5186.0,429.0,659.0,166.0,1296.0,1431.0,2943.0,107.0,22892,7135,799,3183,487,8894,8655,8531,4890,3526,34.5,13280,8849,4431,417,13697,3993,5573,4571,1406,4950,2414,22907,49,57,29,36,20,21
1784038,Yorkville,6189,16921,19352.0,1390.0,5366.0,3500.0,5222.0,2121.0,1074.0,427.0,252.0,33.3,14323.0,2576.0,1796.0,280.0,377.0,19109.0,13637.0,9853.0,9326.0,527.0,3784.0,9196.0,342.0,8854.0,8196.0,304.0,251.0,31.0,72.0,300600.0,178.0,1676.0,3213.0,1406.0,11898.0,729.0,2455.0,3205.0,1410.0,2373.0,1726.0,700.0,725.0,766.0,1296.0,1876.0,1110.0,97610.0,34429.0,6473.0,4836.0,1637.0,313.0,6786.0,4438.0,1039.0,178.0,259.0,190.0,297.0,385.0,0.0,6.4,4750.0,1511.0,333.0,192.0,2003.0,682.0,1515.0,1832.0,2301.0,456.0,558.0,3051.0,1185.0,42.0,245200.0,1623.0,220.0,257.0,681.0,423.0,42.0,1181.0,6208.0,206.0,265.0,5836.0,5720.0,637.0,9028.0,Health Care,Retail Trade,Education,Manufacturing,Professional,1115.0,994.0,940.0,911.0,670.0,5112.0,Education,Retail Trade,Manufacturing,Accommodation and Food Service,Health Care,964.0,734.0,708.0,517.0,449.0,Aurora,Chicago,Yorkville,Naperville,Oswego,1046.0,932.0,557.0,554.0,395.0,Yorkville,Aurora,Montgomery,Oswego,Joliet,557.0,403.0,287.0,269.0,252.0,,,,,341368718,263450607,450745939,83974878,15509884,89004,3259791,0,553579496,1.0,0.0,0.0,1.0,0.0,0.0,6.187607249903163,12783.855541418392,2320.1028737829324,0.18148694392439238,69.31251844037016,0.005421879042344044,3.81112870279491,0.000298120444997774,401.6584322200047,0.03141919360076248,312.6859940153517,0.02445944363203111,185.9420266324986,0.014545066316657392,1512.979759317858,0.11835081790590933,6253.483186992714,0.48917035762271127,256.967137996673,0.020100910649696064,1466.912483317196,0.11474726686049827,1308.0,1707.0,1093.0,2365.0,4784.0,1020.0,1689.0,587.0,0.0,0.0,587.0,818.0,18.0,217.0,583.0,766.0,129.0,245.0,392.0,4268.0,2132.0,1603.0,533.0,18688.0,664.0,17962.0,1533.0,209.0,16429.0,855.0,99.0,169.0,59.0,0.0,0.0,4.0,347.0,0.0,5895,182,24,24,64,2006,1270,1544,760,609,33.2,2220,1602,618,71,2291,364,1011,1209,332,692,257,3865,57,68,35,43,24,26
1716691,Country Club Hills,16169,16541,16758.0,675.0,3432.0,3230.0,2705.0,3752.0,1813.0,790.0,361.0,40.3,645.0,621.0,15047.0,334.0,111.0,16608.0,13710.0,8312.0,6921.0,1391.0,5398.0,6709.0,179.0,6530.0,5541.0,365.0,477.0,97.0,50.0,245025.0,317.0,2377.0,1742.0,1446.0,11708.0,719.0,3190.0,3286.0,936.0,2169.0,1408.0,952.0,1290.0,1087.0,879.0,1342.0,332.0,61982.0,27556.0,5882.0,4731.0,1151.0,553.0,6435.0,4999.0,635.0,98.0,180.0,124.0,128.0,271.0,0.0,6.4,599.0,3727.0,2091.0,18.0,1976.0,291.0,1163.0,3003.0,1603.0,375.0,3045.0,1573.0,79.0,20.0,131800.0,1085.0,144.0,239.0,271.0,403.0,28.0,1345.0,5321.0,354.0,561.0,5107.0,4931.0,775.0,6019.0,Health Care,Transportation,Education,Retail Trade,Administration,1189.0,653.0,622.0,580.0,496.0,1715.0,Retail Trade,Education,Public Administration,Health Care,Other Service,497.0,371.0,155.0,151.0,150.0,Chicago,Tinley Park,Homewood,Hazel Crest,Orland Park,1831.0,140.0,122.0,118.0,115.0,Chicago,Country Club Hills,Tinley Park,Oak Forest,Harvey,227.0,100.0,75.0,50.0,48.0,,,,24175.979272791148,123044405,98032403,132733062,46255678,2115706,0,59234,0,181163680,0.4782400765184122,0.5217599234815877,0.0,0.8277505826849363,0.17224941731506374,0.0,6.809700787761204,3100.9846199017957,1354.8105356558938,0.4368968897687725,23.294719173640978,0.007512039570960108,11.660922998730438,0.003760393690407831,132.35283025398616,0.04268090509206641,180.57548355647918,0.058231660485371185,18.701470679469416,0.006030816973243056,792.0416153492503,0.2554161701628605,404.8755425076575,0.130563544207607,112.72174082050329,0.036350306317892364,69.94975890618494,0.022557273730819137,1813.0,1824.0,1085.0,1160.0,3851.0,703.0,2031.0,608.0,0.0,71.0,537.0,1416.0,141.0,147.0,1128.0,1087.0,488.0,133.0,466.0,2513.0,1937.0,424.0,152.0,15898.0,860.0,16083.0,593.0,145.0,15490.0,201.0,3.0,0.0,108.0,0.0,0.0,102.0,75.0,104.0,2248,280,13167,164,310,5429,2800,4182,2617,1141,34.4,5297,4865,432,194,5491,1027,2475,3295,897,1586,686,9966,50,59,29,37,22,23
1707133,Bolingbrook,56321,73366,74431.0,4453.0,16548.0,15135.0,16146.0,14847.0,4943.0,1686.0,673.0,36.2,30790.0,18921.0,13264.0,8474.0,2982.0,74106.0,57801.0,42493.0,40695.0,1798.0,15308.0,40104.0,1779.0,38325.0,33912.0,2088.0,1116.0,554.0,655.0,1207995.0,644.0,5227.0,10261.0,6789.0,48343.0,4757.0,11245.0,9821.0,4151.0,12552.0,5817.0,2142.0,3389.0,3603.0,3488.0,5463.0,4836.0,91290.0,34781.0,22921.0,18537.0,4384.0,1082.0,24003.0,18044.0,3461.0,95.0,138.0,241.0,717.0,1263.0,44.0,6.8,5329.0,15696.0,2537.0,441.0,1983.0,1567.0,2509.0,10212.0,8253.0,1462.0,3146.0,11317.0,3726.0,296.0,223600.0,4350.0,180.0,966.0,1365.0,1648.0,191.0,1386.0,21935.0,1419.0,986.0,21043.0,20799.0,1878.0,35102.0,Health Care,Retail Trade,Manufacturing,Professional,Administration,4463.0,3845.0,3219.0,3072.0,2899.0,40089.0,Wholesale Trade,Retail Trade,Manufacturing,Transportation,Administration,6158.0,5640.0,4813.0,4626.0,4422.0,Chicago,Bolingbrook,Naperville,Downers Grove,Aurora,5609.0,3730.0,2269.0,1220.0,1001.0,Chicago,Bolingbrook,Joliet,Naperville,Romeoville,4340.0,3730.0,3068.0,1773.0,1709.0,14347.0,22155.0,35097,26331.83112597749,1645486998,1310704058,1511308881,297345414,464278035,0,1242110,0,2274174440,0.5019775689828053,0.268466594867605,0.22955583614958963,0.817142703278408,0.1828572967215922,0.0,7.205265708602618,15559.663750642643,4437.693943185322,0.28520500277533545,143.82810690681424,0.009243651354668501,0,0,1008.3973109392044,0.06480842562536454,544.1075851462798,0.034969109478590575,2765.9884512253525,0.17776659544529758,3106.877730375964,0.19967512024465464,902.7864755240535,0.058020950194811675,1797.3439184103477,0.11551303082215475,852.6402289293059,0.05479811405912228,3768.0,6752.0,4233.0,8168.0,18167.0,1917.0,4754.0,1437.0,23.0,136.0,1278.0,3996.0,337.0,690.0,2969.0,3594.0,824.0,999.0,1771.0,13777.0,8628.0,3995.0,1154.0,57269.0,17162.0,69978.0,24475.0,10297.0,45503.0,14062.0,856.0,295.0,1589.0,511.0,344.0,1144.0,4867.0,807.0,32618,7371,11324,3570,1438,19737,12643,14355,7177,2409,31.0,17416,14834,2582,468,17884,4317,7845,9014,2653,7366,2473,33668,56,66,34,42,23,24
